WSAW,PO/LOT,Comment,Wafer id,TTV,Warp,Bow,Wav ind,Entry Warp 10mm,Entry Warp 20mm,Entry Warp 30mm,Exit Warp 10mm,Exit Warp 20mm,Exit Warp 30mm,Entry wav,Exit wav
WSAWB20,INL-QX-V2F,030*35.5*TM900 *New (P1) -842*Wire-01*0109*T006T022*13061602,UDIGPAB0120,12.11,12.41,0.61,0.73,2.07,2.07,-3.22,-1.48,2.18,2.99,0.47,0.34
2023/6/17 02:34,UDIGPAB,,UDIGPAB0320,13.2,10.09,1.1,0.97,1.43,-1.98,-2.78,1.25,1.93,2.16,0.2,0.25
,,,UDIGPAB0620,14.66,9.05,0.96,0.89,-1.25,-3,-3,1.58,1.58,1.58,0.28,0.3
,,,UDIGPAB0920,15.76,10.9,0.6,1.45,-1.35,-3.13,-3.6,1.38,-1.96,-3.49,0.73,0.48
,,,UDIGPAB1220,15.3,12.9,0.31,2.05,-2.04,-3.49,-3.49,3.68,3.68,-5.53,1,0.75
,,,UDIGPAB1401,18.41,15.89,-2.98,1.41,-1.73,-3.09,-3.09,6.09,6.09,6.09,1.17,1.13
WSAWB20,UMC-QC-59K,029*34.1*TM900 * A-611*Wire-03*0072*T202T034*23061503,UEGHJAA0120,10.72,7.09,0.19,0.75,1.82,2.29,2.34,-1.15,3.47,4.39,0.41,0.75
2023/6/16 11:35,UEGHJAA,,UEGHJAA0320,11.95,6.62,-0.43,0.55,1.71,1.87,2.32,-0.71,2.19,3.55,0.39,0.54
,,,UEGHJAA0620,12.39,6.74,-1.56,0.63,0.79,0.79,-1.26,-0.66,0.97,1.21,0.37,0.52
,,,UEGHJAA0820,12.5,7.59,-1.47,0.64,-1,-1.07,-1.79,1.04,1.53,1.53,0.33,0.5
,,,UEGHJAA1120,12.43,11.51,-2.25,1.13,-0.85,-1.24,-3.44,1.99,2.69,-3.12,0.86,1.12
,,,UEGHJAA1308,14.44,17.59,-6.07,2.35,1.76,2.84,3.03,5.38,6.36,6.36,0.89,1.16
WSAWB20,TSM-QX-S4F,028*32.8*TM900 * A-600*Wire-02*0111*T202T034*23061501,UIA59AK0120,11.86,8.32,-0.03,0.59,1.73,1.73,1.73,-0.68,2.39,3.63,0.29,0.48
2023/6/15 20:17,UIA59AK,,UIA59AK0320,11.83,5.79,-0.64,0.55,-0.95,-1.3,-1.3,1.3,1.65,2.85,0.43,0.26
,,,UIA59AK0620,11.57,4.9,-1.36,0.5,-1.13,-1.7,-1.7,1.21,1.3,2.23,0.23,0.31
