WSAW,PO/LOT,Comment,Wafer id,TTV,Warp,Entry Warp 10mm,Entry Warp 20mm,Entry Warp 30mm,Exit Warp 10mm,Exit Warp 20mm,Exit Warp 30mm,Wav ind,Entry wav,Exit wav,Bow
,,,PFEAPAA1201,9.55,10.31,-1.5,-2.35,2.38,5.19,6.01,6.01,0.75,0.45,0.75,0.46
WSAWB20,TSM-QX-S4F,006*34.3*TM1050 *New (P1) -442*Wire-03*0002*T027T031*22121702,PHF9JAH0120,10.09,11.27,1,-2.11,-3.92,3.38,3.38,3.38,0.79,0.34,0.49,0.97
2022/12/18 10:38,PHF9JAH,,PHF9JAH0320,10.59,11.39,-0.88,-2.59,-4.41,2.27,2.99,3.2,0.68,0.39,0.45,1.07
,,,PHF9JAH0620,10.71,12.97,1.49,-2.53,-4.58,1.4,1.55,1.95,0.78,0.52,0.29,0.7
,,,PHF9JAH0820,10.04,12.55,1.82,-2.22,-4.56,1.5,1.5,1.52,0.76,0.49,0.29,0.39
,,,PHF9JAH1120,9.98,12.42,2.4,2.64,-3.03,1.53,1.53,2.05,0.96,0.55,0.28,0.32
,,,PHF9JAH1308,10.7,16.9,2.92,3.54,3.54,0.95,-0.99,1.21,0.97,0.53,0.43,-1.89
WSAWB20,TSM-QX-20K,005*34.3*TM1050 *New (P1) -427*Wire-02*0192*T027T031*22121602,PJD13AH0120,11.15,11.72,2.68,3.09,3.09,-1.6,2.86,2.99,0.85,0.61,0.68,1.49
2022/12/17 16:34,PJD13AH,,PJD13AH0320,11.24,10.49,2.15,2.73,2.73,-1.58,2.67,3.48,0.65,0.45,0.62,1.53
,,,PJD13AH0620,10.93,9.89,2.28,2.82,2.82,0.75,1.19,1.52,0.74,0.51,0.42,1.57
,,,PJD13AH0820,11.42,10.75,1.26,-1.33,-2.68,1.06,1.68,1.85,0.85,0.41,0.33,1.65
,,,PJD13AH1120,12.53,9.82,0.96,2.36,2.52,1.77,2.36,2.38,0.72,0.48,0.54,1.33
,,,PJD13AH1308,12.68,12.09,1.71,2.67,3.73,4.88,6.01,6.01,0.93,0.45,0.85,0.85
WSAWB20,TSM-QX-S4F,005*32.6*TM1050 *New (P1) -412*Wire-01*0109*T027T031*22121601,PGJYVAH0120,9.65,10.85,2.89,4.41,4.41,-2.8,-3.52,-3.52,0.83,0.5,0.4,2.21
2022/12/16 22:36,PGJYVAH,,PGJYVAH0320,10.15,10.88,2.94,4.3,5.09,-1.47,-2.08,-2.08,0.84,0.67,0.39,2.67
,,,PGJYVAH0520,9.91,11.44,3.06,4.55,6.01,-0.73,0.86,-1.42,0.96,0.68,0.37,2.31
,,,PGJYVAH0820,12.06,10.55,2.33,2.33,2.67,-0.82,1.12,-1.69,1.13,0.49,0.51,0.9
,,,PGJYVAH1020,12.41,10.42,1.14,2.08,2.86,1.12,1.12,-1.63,0.88,0.32,0.6,1.4
,,,PGJYVAH1220,10.6,18.87,-1.56,3.63,4.78,2.57,3.24,3.24,2.29,0.47,0.71,6
WSAWB20,PSC-QY-69K,003*35.9*TM1050 *New (P1) -396*Wire-03*0106*T208T221*22121502,PAJGXAE0120,12.67,9.73,4.02,4.3,4.3,-3.9,-5.33,-5.33,1.18,0.75,1.12,-1.1
2022/12/16 04:42,PAJGXAE,,PAJGXAE0320,12.24,8.94,3.41,3.81,3.81,-1.24,2.53,3.67,1.07,0.68,0.96,0.49
,,,PAJGXAE0620,11.88,8.81,2.28,3.3,3.3,1.37,3.7,3.7,0.68,0.64,0.39,0.63
,,,PAJGXAE0920,11.63,11.89,1.38,2.01,2.01,1.74,2.58,2.62,0.65,0.56,0.39,0.49
,,,PAJGXAE1220,12.01,8.09,1.06,2.62,2.62,3.06,4.38,4.38,0.77,0.77,0.53,1.06
,,,PAJGXAE1401,11.77,9.83,2.6,4.57,4.65,8.38,10.13,10.13,0.76,0.62,0.82,0.39
WSAWB20,TSM-QY-01B,002*27.8*TM1050 *New (P1) -365*Wire-02*0116*T208T221*22121402,PAJGQAI0120,9.29,9.52,2.83,2.83,2.83,-1.64,2.53,2.93,0.74,0.6,0.58,0.6
2022/12/15 10:54,PAJGQAI,,PAJGQAI0320,9.65,7.72,1.81,1.81,2.11,-1.3,-1.3,1.36,0.59,0.59,0.34,0.15
