WSAW,PO/LOT,Comment,Wafer id,TTV,Warp,Bow,Wav ind,Entry Warp 10mm,Entry Warp 20mm,Entry Warp 30mm,Exit Warp 10mm,Exit Warp 20mm,Exit Warp 30mm,Entry wav,Exit wav
WSAWB20,DEV-QC-57M,030*31.9*TM860 *New (P1) -865*Wire-02*0117*22062002,PJC4WAE0120,10.02,10.73,-0.64,0.89,1.38,-2.64,-4.68,1.73,2.42,3.76,0.32,0.89
2022/6/21 05:04,PJC4WAE,,PJC4WAE0320,9.65,9.02,-0.59,0.76,1.5,-2.58,-3.92,3.05,3.8,4.69,0.25,0.73
,,,PJC4WAE0520,8.83,8.47,-0.38,0.71,-0.67,-1.78,-3.76,2.31,2.74,3.6,0.27,0.71
,,,PJC4WAE0820,9.44,8.1,-0.1,0.92,-1.06,-1.92,-3.21,2.57,3.93,5.55,0.45,0.92
,,,PJC4WAE1020,9.29,8.57,0.18,1.15,-1.74,-2.2,-3.32,3.49,6.35,7.63,0.38,1.15
,,,PJC4WAE1208,8.42,9.02,-0.22,0.89,-1.43,-2.04,-3,5.46,7.51,8.17,0.39,0.89
WSAWB20,DEV-QC-57M,031*30.8*TM860 *New (P1) -881*Wire-03*0107*22062101,PBE2AAH0120,9.56,8.2,-0.42,0.6,2.56,2.56,-2.64,-1.32,1.74,2.03,0.22,0.6
2022/6/21 20:05,PBE2AAH,,PBE2AAH0320,9.27,8.02,-0.83,0.71,1.51,-1.57,-2.36,0.87,2.76,2.76,0.23,0.71
,,,PBE2AAH0520,9.22,6.61,-0.75,0.62,1.72,1.72,-1.9,1.69,2.86,2.88,0.22,0.62
,,,PBE2AAH0820,8.76,7.05,-0.3,0.91,-0.88,-1.33,-2.18,1.84,4.37,4.94,0.26,0.91
,,,PBE2AAH1020,8.69,6.6,-0.61,1.11,-1.24,-1.24,-1.46,2.02,5.45,5.77,0.33,1.11
,,,PBE2AAH1201,9.16,8.36,-1.3,0.73,0.66,1.09,1.09,6.96,8.54,8.6,0.25,0.73
WSAWB20,DEV-QC-57M,029*31.1*TM860 *New (P1) -854*Wire-01*0034*22061903,PJEX4AH0120,9.44,7.04,-0.29,0.85,1.77,1.9,1.9,1.4,2.59,3.36,0.32,0.85
2022/6/20 14:21,PJEX4AH,,PJEX4AH0320,9.55,8.51,-0.6,0.66,1.8,1.85,1.85,2.15,3.22,4.13,0.3,0.66
,,,PJEX4AH0520,9.45,6.47,-0.14,0.64,1.55,1.73,1.73,3.44,4.17,4.87,0.43,0.64
,,,PJEX4AH0820,8.58,6.66,-0.16,0.86,1.22,1.22,-1.36,3.3,6.07,6.88,0.37,0.86
