A1_TTV,B1_TTV,C1_TTV,A2_TTV,B2_TTV,C2_TTV,A1_WARP,B1_WARP,C1_WARP,A2_WARP,B2_WARP,C2_WARP,A1_BOW,B1_BOW,C1_BOW,A2_BOW,B2_BOW,C2_BOW,A1_WAVI,B1_WAVI,C1_WAVI,A2_WAVI,B2_WAVI,C2_WAVI
13.1,10.61,9.88,11.59,10.83,,8.96,7.98,7.91,9.54,5.35,,-0.82,-0.89,0.01,-3.18,-0.39,,0.8,0.75,0.43,0.72,0.54,
13.75,11.04,9.74,11.54,11.61,,8.9,6.34,6.59,9.76,7.95,,-1.35,-1.53,-0.27,-3.91,-0.71,,0.84,0.78,0.47,0.86,0.7,
13.97,11.52,9.94,9.63,9.28,,8.1,6.09,7,10.33,8.83,,0.9,-0.58,-0.54,-1.64,-1.06,,0.82,0.56,0.48,0.79,0.67,
13.75,11.45,7.04,10.13,8.77,,7.76,4.05,7.89,8.98,6.74,,1.03,-0.24,-0.88,-2.23,-1.23,,0.88,0.54,0.48,0.79,0.77,
11.32,11.49,7.47,10.06,8.11,,6.8,3.98,6.14,7.8,5.39,,1.39,-0.74,-0.84,-3.01,-1.47,,0.76,0.51,0.65,0.88,0.66,
13.36,12.17,7.45,11.36,8.42,,8.81,6.98,7.46,13.59,5.39,,0.71,-2.35,-1.43,-3.76,-1.28,,0.81,0.6,0.68,0.82,0.82,
11.98,12.16,8.15,10.42,7.99,,5.95,6.64,7.18,11.26,4.68,,0.58,-1.03,1.7,-3.82,-1.27,,0.78,0.73,0.63,0.8,0.79,
13.64,11.84,9.87,11.33,6.87,,8.58,7.03,6.84,12.24,5.71,,-0.64,-2.26,1.6,-0.14,-1.46,,0.81,0.94,0.59,0.88,0.57,
12.13,12.19,9.25,8.21,8.9,,5.63,8.89,8.83,14.3,8.01,,0.39,0.76,1.19,-0.73,-0.13,,0.85,0.65,0.8,0.91,0.63,
13.71,11.93,12.21,8.5,8.9,,8.97,5.83,9.59,8.86,6.59,,-0.74,0.43,1.21,-1.12,0.18,,0.79,0.64,0.81,0.85,0.6,
11.27,12.19,11.73,8.98,8.17,,8.99,5.56,9.13,7.48,6.25,,0.83,0.07,-0.27,-1.24,0.06,,0.78,0.67,1.04,0.87,0.63,
12.81,12.4,12.21,9.97,7.82,,9.76,5.16,8.79,10.51,6.63,,-0.38,-0.59,-1.13,-1.94,-0.1,,0.43,0.73,0.49,0.9,0.86,
11.32,11.95,11.56,9.86,7.64,,10.42,4.4,8.58,12.78,9.39,,1.22,-0.69,-1.25,-2.4,0.25,,0.45,0.76,0.47,0.89,0.91,
13.11,10.93,11.47,10.89,7.78,,8.11,5.18,6.78,10.01,7.75,,-0.12,-1.17,-0.98,0.34,-0.29,,0.34,0.68,0.5,0.86,0.73,
11.58,12.53,12.16,8.19,10.26,,8.73,10.62,11.58,13.09,6.39,,-0.54,-0.05,-1.71,-0.41,-0.61,,0.48,0.63,0.56,0.77,0.54,
13.26,9.18,10.07,9.81,10.26,,6.98,8.42,10.11,9.33,5.97,,1.44,-0.8,-1.58,-0.84,-0.71,,0.35,0.71,0.82,0.68,0.75,
11.63,9.22,10.11,11.89,10.06,,8.18,7.69,11.17,9.73,5.38,,0.91,-0.43,-0.02,-0.81,-0.79,,0.5,0.76,0.94,0.72,0.47,
14.1,9.03,9.13,12.06,10.46,,6.7,9.28,12.62,11.16,5.57,,1.86,-0.98,-0.12,-1.11,-1.59,,0.42,0.66,0.48,0.82,0.46,
12.19,8.84,10.45,11.69,10.66,,9.09,9.32,11.83,12.48,5.64,,0.98,-1.06,-0.56,-1.3,-1.22,,0.59,0.66,0.38,0.81,0.45,
13.84,8.42,9.39,12.75,10.91,,7.67,9.9,9.15,13.24,4.76,,1.54,-1.47,-0.47,-2.32,-1.64,,0.4,0.79,0.39,0.58,0.5,
12.97,8.26,9.89,10.68,9.71,,9.12,6.1,7.16,14.02,6.25,,0.81,0.72,-0.79,-2.2,-0.32,,0.56,0.72,0.56,0.65,0.55,
9.95,9.75,10.94,10.95,9.84,,8.49,5.94,6.09,10.28,5.91,,1.85,-0.01,-1.96,-3.04,-0.69,,0.46,0.56,0.89,0.64,0.57,
9.52,9.56,9.39,10.79,9.86,,11.32,5.84,6.34,9.8,5.72,,1.54,-0.76,0.26,-3.4,-1.13,,1.24,0.61,1.56,0.52,0.48,
10.01,9.37,9.93,11.89,10.33,,9.98,6.38,7,10.04,5.51,,1.05,-0.74,-0.01,-3.29,-0.99,,1.3,0.63,1.36,0.56,0.4,
