A1_TTV,B1_TTV,C1_TTV,A2_TTV,B2_TTV,C2_TTV,A1_WARP,B1_WARP,C1_WARP,A2_WARP,B2_WARP,C2_WARP,A1_BOW,B1_BOW,C1_BOW,A2_BOW,B2_BOW,C2_BOW,A1_WAVI,B1_WAVI,C1_WAVI,A2_WAVI,B2_WAVI,C2_WAVI
11.9,,,12.58,11.25,,15.17,,,11.33,6.2,,0.97,,,-1.64,-1.05,,1.34,,,1.27,0.4,
8.78,,,13.57,12.14,,15.25,,,10.78,7.05,,-0.93,,,-1.32,-1.54,,1.14,,,1.12,0.68,
9.26,,,13.29,10.36,,14.42,,,9.83,7.27,,-0.76,,,-1.59,-0.64,,1.01,,,0.76,0.8,
9.43,,,12.92,9.83,,10.66,,,10.02,7.98,,-2.54,,,-1.1,-0.6,,2.11,,,0.92,0.7,
8.66,,,14.53,10.25,,9.73,,,9.87,8.14,,-1.7,,,-1.7,-1.02,,0.9,,,1.12,0.68,
9.28,,,16.13,10.16,,7.23,,,9.01,7.16,,-1.08,,,-1.18,-1.69,,2.01,,,1.46,0.41,
13.26,,,10.68,9.77,,7.01,,,7.19,7.68,,0.41,,,-1.49,-1.52,,1.85,,,1.28,0.38,
9.51,,,11.55,10.58,,13.39,,,9.86,6.71,,-2.11,,,-2.2,-1.6,,1.71,,,1.26,0.46,
9.87,,,10.33,10.64,,15.8,,,10.47,7.47,,-3.21,,,-2.14,-0.44,,1.82,,,0.61,0.98,
9.88,,,13.25,10.61,,6.87,,,9.5,6.21,,-1.38,,,-2.42,-0.54,,1.75,,,0.35,1.03,
9.97,,,14.28,9.95,,6.5,,,10.56,7.3,,-1.55,,,-2.67,-0.43,,2.07,,,0.47,0.69,
9.92,,,14.03,10.62,,5.94,,,9.53,8.66,,-2.42,,,-2.91,-1.22,,1.79,,,0.46,0.54,
9.89,,,10.11,10.32,,6.59,,,9.15,10.4,,-1.79,,,-3.39,-1.32,,1.81,,,0.52,0.4,
9.76,,,10.49,12.08,,6.67,,,12.49,9.73,,-2.64,,,-1.39,-2.52,,2.19,,,0.54,0.54,
10.32,,,10.17,10.38,,7.28,,,12.67,9.21,,-3.49,,,-2.1,-0.71,,1.87,,,0.7,0.86,
9.89,,,10.15,10.62,,4.97,,,11.75,7.41,,0.13,,,-1.92,-1.58,,2.41,,,0.72,0.69,
10.55,,,10.27,10.33,,5.2,,,11.7,7.43,,-0.1,,,-1.91,-2.04,,0.91,,,0.68,0.54,
10.33,,,10.39,10.36,,4.55,,,9.86,11.07,,-0.29,,,-1.58,-2.4,,0.63,,,0.5,0.42,
10.28,,,10.89,10.03,,5.78,,,8.55,12.73,,-0.66,,,-1.56,-2.06,,0.67,,,0.65,0.35,
9.89,,,10.36,10.74,,6.58,,,7.67,6.4,,-0.49,,,-1.88,-2.44,,0.7,,,0.91,0.41,
9.98,,,10.31,8.47,,8.27,,,9.65,5.73,,-0.76,,,-2.51,-0.94,,0.75,,,0.67,0.52,
10.28,,,10.27,8.59,,5.46,,,8.32,5.35,,0.19,,,-1.53,-1.48,,0.68,,,0.54,1,
10.49,,,10.53,8.61,,5.3,,,7.23,5.95,,-0.45,,,-2.27,-1.93,,0.36,,,0.59,0.69,
9.79,,,11.63,8.62,,5.84,,,6.71,12.92,,-0.76,,,-1.87,-1.75,,0.38,,,0.57,0.61,
9.81,,,9.76,8.85,,7.99,,,8.09,4.48,,-1.26,,,-1.95,-2.88,,0.44,,,0.62,0.51,
9.95,,,10.49,8.15,,7.55,,,8.28,5,,-1.18,,,-1.08,-2.9,,0.46,,,0.78,0.8,
9.59,,,10.5,8.57,,7.88,,,7.73,4.9,,-1.62,,,-1.88,-0.63,,0.49,,,0.67,0.8,
9.66,,,10.51,8.42,,6.21,,,7.63,6.09,,-0.43,,,-2.24,-0.9,,1.03,,,0.46,0.67,
9.96,,,10.42,8.61,,5.07,,,8.01,5.62,,-0.7,,,-2.24,-1.43,,1.49,,,0.54,0.69,
9.77,,,11.24,7.65,,5.12,,,7.3,8.26,,-0.68,,,-1.42,-1.34,,1.4,,,0.54,0.78,
10.5,,,10.3,7.78,,5.59,,,8.96,7.19,,-1.43,,,-0.87,-3.28,,1.55,,,0.61,0.86,
9.84,,,10.34,7.98,,4.46,,,13.85,5.25,,-1.51,,,-1.6,0.36,,1.7,,,0.53,1.27,
10.03,,,11.03,8.06,,8.87,,,14.33,5.36,,-1.66,,,-1.9,-0.25,,1.81,,,0.7,1.16,
10.24,,,11.04,7.71,,5.65,,,13.29,7.97,,0.31,,,-1.96,-0.63,,1.83,,,0.54,1.06,
10.51,,,10.76,8.59,,5.33,,,14.45,7.3,,-0.04,,,-2.04,-0.92,,0.71,,,0.71,1.15,
10.65,,,11.03,8.22,,6.36,,,14.2,9.59,,-0.35,,,-1.73,-1.01,,0.72,,,0.61,1.32,
10.76,,,11.47,8.43,,7.31,,,12.94,7.9,,-0.61,,,-2.66,-2.29,,0.45,,,0.73,1.18,
9.76,,,11.29,8.7,,8.34,,,8.33,8.2,,-0.32,,,-1.05,-0.21,,0.52,,,1.17,1.15,
9.87,,,11.82,8.65,,10.39,,,7.42,9.64,,-1.39,,,-1.82,-0.22,,0.69,,,1,0.76,
10.28,,,12.64,8.67,,4.83,,,7.48,12.88,,0.03,,,-1.89,-0.8,,1.15,,,0.51,0.72,
10.25,,,12.66,8.42,,5.57,,,6.92,12.2,,-0.46,,,-1.83,-1.16,,0.52,,,0.38,0.68,
10.62,,,13.83,8.56,,4.98,,,7.32,7.98,,-0.24,,,-2.14,-1.26,,0.61,,,0.6,1.05,
11.48,,,10.71,9.78,,5.71,,,9.32,6.85,,-1.45,,,-2.28,-2.42,,0.55,,,0.78,0.48,
9.54,,,9.62,10.44,,6.37,,,8.34,7.39,,-1.96,,,-2.31,-0.21,,0.69,,,0.95,0.45,
9.65,,,9.67,9.89,,7.09,,,8.08,9.95,,-2.55,,,-2.51,-1.02,,0.61,,,0.72,0.52,
9.49,,,9.78,9.89,,5.13,,,6.61,9.16,,0.91,,,-2.11,-1.59,,0.83,,,0.63,0.5,
9.24,,,9.45,11.08,,5.16,,,7.24,10.18,,0.59,,,-2.25,-2.08,,0.68,,,0.84,0.58,
9.45,,,10.59,10.38,,5.12,,,6.11,6.45,,-0.07,,,-2.36,-2.27,,0.63,,,0.68,0.5,
8.92,,,8.05,11.29,,5.71,,,7.97,6.66,,-0.15,,,-1.2,-3.14,,0.52,,,0.74,1.21,
9.82,,,7.16,8.56,,5.8,,,11.7,6.55,,-0.85,,,-0.37,0.16,,0.92,,,1.19,0.55,
9.6,,,6.9,8.97,,7.63,,,10.48,8.4,,-1.63,,,-1.43,-0.68,,0.79,,,1.32,0.59,
9.26,,,7.04,8.68,,6.14,,,10.18,8.06,,1.27,,,-0.55,-0.91,,0.61,,,0.87,0.64,
9.62,,,6.34,8.69,,6.46,,,10.02,8.01,,0.86,,,-0.34,-1.21,,0.69,,,0.86,1.13,
8.78,,,9.36,9.55,,5.77,,,8.54,7.99,,0.42,,,-0.56,-1.89,,0.46,,,0.89,1.01,
10.1,,,5.74,9.92,,5.91,,,7.14,9.6,,0.7,,,-1.3,-2.76,,0.5,,,0.75,0.38,
9.14,,,5.96,8.98,,7.04,,,8.67,12.32,,0.37,,,-1.89,0.11,,0.44,,,0.83,0.37,
8.73,,,5.99,9.06,,8.43,,,8.57,11.74,,0.27,,,-2.48,-1.09,,0.43,,,0.92,0.35,
8.69,,,6.22,8.99,,6.09,,,7.6,11.37,,-0.01,,,-1.75,-1.6,,0.7,,,0.99,0.78,
8.6,,,6.53,9.29,,6.32,,,7.03,9.46,,-0.08,,,-1.99,-2.28,,0.54,,,0.86,0.63,
7.77,,,6.94,10.54,,4.99,,,5.95,9.83,,-0.36,,,-1.7,-2.4,,0.55,,,0.75,0.51,
7.77,,,10.06,10.17,,5.43,,,7.38,11.68,,-0.32,,,-2.29,-3.19,,0.55,,,0.69,0.5,
9.19,,,9.71,9.62,,5.67,,,11.61,12.56,,-1.1,,,-0.91,-1.67,,0.55,,,0.78,0.49,
9.24,,,9.86,9.38,,8.75,,,9.82,12.23,,-1.47,,,-1.03,-2.22,,0.61,,,0.59,0.64,
8.87,,,10.27,8.96,,6.41,,,9.48,9.45,,0.32,,,-0.55,-2.8,,1.26,,,0.33,0.93,
9.11,,,9.63,9.87,,4.69,,,8.57,12.73,,0.18,,,-0.76,-3.18,,0.69,,,0.33,1.2,
8,,,11.8,10.5,,4.06,,,8.62,6.27,,0.15,,,-0.68,0.65,,0.6,,,0.38,0.48,
7.64,,,8.45,9.86,,4.43,,,10.77,9.35,,0.05,,,-0.71,-0.42,,0.62,,,0.36,0.58,
10.32,,,7.52,9.2,,3.76,,,9.32,9.5,,0.57,,,-1.6,-1.32,,0.64,,,0.64,0.51,
10.35,,,7.37,9.87,,5.21,,,10.59,8.86,,0.42,,,-1.56,-2.56,,0.79,,,0.55,0.56,
10.34,,,6.84,9.4,,8.26,,,11.56,8.49,,0.65,,,-1.51,-1.7,,0.81,,,0.36,0.9,
10.11,,,6.31,8.89,,4.7,,,13.4,10.08,,0.48,,,-1.69,-1.83,,0.62,,,0.36,0.76,
10.36,,,7.12,9.47,,4.83,,,14.3,7.71,,0.24,,,-1.58,-0.44,,0.44,,,0.3,0.41,
10.33,,,7.91,10.23,,4.73,,,13.87,9.67,,0.62,,,-1.08,-0.97,,0.41,,,0.34,0.39,
10.51,,,7.24,10.49,,5.63,,,12.73,8.72,,0.59,,,0.24,-1.6,,0.42,,,0.84,0.45,
10.26,,,8.18,10.36,,5.86,,,13.74,8.81,,0.69,,,-0.22,-2.17,,0.46,,,0.77,0.39,
10.1,,,7.27,10.63,,10.46,,,14.54,7.93,,1.29,,,-0.18,-2.32,,0.66,,,0.5,0.92,
9.68,,,6.38,10.57,,7.55,,,14.58,6.82,,0.49,,,0.15,-2.5,,0.67,,,0.51,1.08,
10.72,,,6.78,11.81,,7.17,,,13.71,9.96,,0.4,,,-0.41,0.02,,0.73,,,0.62,0.54,
10.38,,,9.85,9.66,,9.23,,,12.29,9.35,,0.16,,,-0.15,-0.91,,0.77,,,0.67,0.46,
13.37,,,10.04,9.8,,10.69,,,10.92,8.34,,-0.01,,,-1.65,-1.29,,0.78,,,1.33,0.55,
12.99,,,10.27,9.99,,12.3,,,13.05,8.46,,-0.01,,,-3.58,-1.96,,0.61,,,0.61,0.39,
13.16,,,10.49,9.96,,12.79,,,14.53,7.81,,-2.15,,,-3.61,-1.99,,0.64,,,0.57,0.73,
13.36,,,10.11,9.8,,11.04,,,14.43,7.38,,-0.24,,,-2.44,-1.77,,0.54,,,0.52,0.78,
13.56,,,12.46,10.94,,11.59,,,14.23,7.47,,-0.68,,,-3.68,-0.29,,0.51,,,0.52,0.37,
13.87,,,9.21,10.02,,12.47,,,14.48,6.81,,-1.05,,,-3.64,-0.95,,0.59,,,0.67,0.41,
11.5,,,9.77,10.12,,10.77,,,10.05,7.05,,-1.5,,,-3.56,-1.72,,0.53,,,0.52,0.4,
11.7,,,9.09,10.07,,11.79,,,9.94,9.04,,-2.28,,,-2.95,-1.78,,0.68,,,0.61,0.48,
12.01,,,8.25,10.52,,8.28,,,8.71,10.37,,-0.46,,,-2.12,-1.68,,0.84,,,0.72,0.97,
11.66,,,8.21,9.64,,6.02,,,8.91,11.65,,-0.51,,,-2.46,-2.38,,1.13,,,0.62,1.18,
11.35,,,8.58,11.12,,6.53,,,9.14,4.97,,-0.82,,,-3.88,-0.39,,0.98,,,0.56,0.97,
11.96,,,10.12,9.64,,8.02,,,11.14,5.78,,-1.18,,,-0.42,-1.01,,1.09,,,0.49,0.82,
12.33,,,9.84,9.61,,7.86,,,10.97,6.12,,-1.52,,,-0.9,-2.09,,0.95,,,0.52,0.93,
12.23,,,9.8,8.48,,6.06,,,11.43,6.71,,-2.08,,,-1.13,-3.28,,1.28,,,0.86,0.91,
12.24,,,9.02,8,,17.57,,,10.02,5.92,,2.15,,,-0.61,-2.81,,1.48,,,0.58,0.75,
12.27,,,8.24,8.39,,17.28,,,10.56,7.89,,1.39,,,-0.92,-3.32,,0.88,,,0.43,1,
12.44,,,8.03,9.03,,16.66,,,8.81,7.67,,1.28,,,-1.15,0.53,,0.92,,,0.38,0.93,
13.86,,,10.19,9.01,,14.82,,,9.14,6.69,,1.14,,,-1.45,-0.96,,0.95,,,0.38,0.6,
8.86,,,8.9,9.42,,9.61,,,10.55,7.34,,1.09,,,-2.23,-1.26,,0.94,,,0.79,0.65,
9.35,,,9.24,8.83,,9.07,,,10.04,7.78,,0.25,,,-1.76,-0.56,,0.82,,,0.7,0.91,
8.92,,,8.52,8.71,,9.04,,,10.2,8.53,,-1.45,,,-2.05,-1.46,,0.89,,,0.65,1.15,
8.73,,,8.26,8.75,,10.55,,,9.9,8.11,,-1.87,,,-2.07,0.62,,1.31,,,0.61,1.05,
8.3,,,8.21,8.88,,11.8,,,9.16,5.6,,-1.45,,,-2.51,-0.24,,1.18,,,0.6,0.75,
8.71,,,9.29,9.09,,12.43,,,7.96,5.18,,-1.84,,,-1.08,-1.27,,1.18,,,0.49,0.65,
8.33,,,8.22,8.89,,10.89,,,12.31,4.36,,-1.87,,,-0.99,-1.75,,1.14,,,0.74,0.84,
8.17,,,8.05,9.34,,12.47,,,11.72,6.43,,-1.07,,,-0.99,-1.95,,1.13,,,0.79,1.13,
8.58,,,7.31,7.86,,14.41,,,11.61,5.23,,1,,,-1.28,-2.09,,1.34,,,0.47,0.78,
8.54,,,7.34,8.56,,14.7,,,11.71,7.82,,0.61,,,-1.45,-0.31,,1.85,,,0.53,1.06,
8.38,,,7.29,9.49,,17.81,,,10.93,8.32,,0.57,,,-2.21,-0.31,,1.76,,,0.56,0.44,
7.88,,,10.38,8.63,,5.57,,,10.96,6.83,,0.06,,,-0.52,-0.51,,1.75,,,0.59,0.35,
9.4,,,10.08,8.47,,4.67,,,9.18,4.41,,-0.12,,,-0.92,-0.69,,1.78,,,0.97,0.43,
9.11,,,10.41,8.11,,4.67,,,9.27,4.95,,-0.41,,,-0.96,-1.82,,1.98,,,0.57,0.58,
9.35,,,11.2,8.15,,4.77,,,8.41,5.06,,-3.49,,,-1.39,-2,,2.49,,,0.45,0.99,
9.49,,,10.3,7.66,,4.4,,,8.45,8.4,,-4.67,,,-1.44,-0.35,,0.96,,,0.56,0.7,
9.06,,,10.58,8.34,,6.89,,,7.53,12.28,,0.67,,,-1.14,-1.18,,0.8,,,0.6,0.37,
9.05,,,10.66,8.95,,8.77,,,8.62,12.15,,0.52,,,-1.63,-2.04,,0.82,,,0.73,0.42,
8.82,,,11.62,8.91,,9.55,,,11.32,8.87,,0.34,,,-2.38,-2.36,,0.88,,,0.96,0.52,
8.92,,,12.33,8.48,,9.8,,,11.13,6.28,,0.06,,,-2.31,0.41,,0.92,,,0.68,0.61,
8.81,,,12.95,8.33,,9.94,,,9.6,6.56,,-0.49,,,-2.51,-0.3,,0.95,,,0.78,0.54,
9.08,,,13.25,7.6,,10.76,,,10.18,7.97,,-0.78,,,-2.14,0.28,,2.21,,,0.9,0.84,
8.98,,,13.82,7.98,,11.85,,,8.46,9.28,,1.89,,,-2.44,-0.86,,2.3,,,0.93,0.4,
9.22,,,10.66,9.93,,5.01,,,8.06,6.57,,1.45,,,-1.08,-0.76,,2.37,,,1.27,0.44,
9.24,,,12.78,10.14,,5.36,,,9.41,5.09,,1.41,,,-1.39,-1.89,,2.35,,,1.01,0.47,
9.12,,,11.86,10.59,,4.34,,,9.51,6.69,,1.03,,,-1.65,0.31,,2.37,,,0.87,0.56,
9.57,,,11.69,10.57,,5.43,,,9.22,6.96,,0.97,,,-2.08,-0.04,,2.43,,,1.05,0.93,
10.07,,,12.86,10.49,,5.11,,,9.1,8.95,,0.17,,,-1.94,-0.05,,0.64,,,0.77,0.54,
9.79,,,13.47,12.05,,9.49,,,8.93,10.2,,1.85,,,-2.51,-0.66,,0.44,,,0.7,0.5,
11.21,,,11.13,10.49,,4.94,,,7.94,6.79,,1.6,,,-0.68,-0.89,,0.45,,,1.02,0.54,
9.83,,,11.51,10.22,,6.21,,,7.44,5.55,,1.22,,,-0.58,-2.72,,0.47,,,0.99,0.39,
9.3,,,12.05,10.99,,7.06,,,7.79,4.48,,0.85,,,-0.92,-0.81,,0.8,,,0.78,0.72,
9.96,,,13.03,11.1,,5.86,,,6.94,6.42,,0.48,,,0.02,-0.6,,0.98,,,0.71,0.67,
10.02,,,13.39,11.09,,8.87,,,8.8,6.87,,-0.26,,,-0.95,-0.05,,0.7,,,0.72,0.81,
10.67,,,13.68,11.81,,9.09,,,9.69,11.03,,0.83,,,-0.7,-0.7,,0.39,,,0.71,0.58,
10.29,,,9.82,10.78,,6.56,,,7.81,8.26,,0.4,,,-0.31,-1.09,,0.52,,,0.74,0.53,
9.97,,,10.15,9.24,,4.78,,,8.67,6.66,,0.4,,,-0.51,-1.62,,0.55,,,1.08,0.6,
10.32,,,10.31,8.78,,4.35,,,7.58,7.69,,-0.06,,,-0.65,-0.07,,0.65,,,0.55,0.71,
11.24,,,10.06,8.89,,3.54,,,8.23,10.28,,-0.03,,,-1.43,0.03,,0.78,,,0.6,0.78,
10.7,,,10.57,8.3,,6.63,,,9.89,6.54,,-0.61,,,-1,0.37,,0.48,,,0.66,1,
12.23,,,11.61,9.24,,7.67,,,12.54,10.27,,0.15,,,-1.12,-0.77,,0.51,,,0.58,0.46,
12.01,,,8.01,10.82,,8.57,,,10.28,6.95,,-0.38,,,-1.77,-1.17,,0.38,,,0.62,0.47,
9.77,,,8,10.04,,8.11,,,8.66,6.37,,-0.58,,,-2.39,-2.06,,0.48,,,0.9,0.58,
9.62,,,7.73,9.98,,7.77,,,7.88,6.86,,-0.7,,,-2.91,-0.18,,0.45,,,1.06,0.65,
10.21,,,7.31,9.78,,7.56,,,8.41,6.1,,-0.74,,,-1.56,-0.84,,0.86,,,0.84,0.64,
11.36,,,7.05,9.78,,8.59,,,8.44,7.11,,-1.68,,,-0.03,-0.21,,0.92,,,0.67,1.26,
12.17,,,7.63,10.55,,10.04,,,7.92,10.36,,0.34,,,-0.89,0.24,,0.96,,,1,0.48,
13.09,,,6.92,9.52,,9.57,,,8.98,9.18,,-0.34,,,-1.16,0.68,,0.91,,,0.71,0.46,
12.11,,,6.91,9.25,,8.46,,,7.69,8.4,,-0.33,,,-1.59,-1.9,,1,,,0.63,0.45,
12.45,,,7.43,9.35,,8.44,,,6.7,6.09,,-0.68,,,-1.66,-0.16,,1.02,,,0.94,0.58,
12.8,,,6.78,9.05,,9.33,,,8.99,10.51,,-0.71,,,-1.96,-0.57,,1.48,,,0.78,0.82,
13.9,,,7.34,8.9,,7.58,,,10.76,10.98,,-1.57,,,-1.08,-0.73,,0.73,,,0.83,1.33,
13.8,,,7.35,9.65,,8.1,,,12.61,4.22,,0.99,,,-0.85,-1.21,,0.69,,,0.95,0.61,
10.68,,,12.49,7.62,,6.62,,,14.47,5.12,,0.95,,,-1.58,-1.78,,0.64,,,1.03,0.56,
11.72,,,12.79,7.98,,5.37,,,11.07,4.71,,0.66,,,-1.85,-2.44,,0.72,,,1.23,0.91,
11.61,,,13.43,8.1,,6.24,,,10.86,5.01,,0.39,,,-1.38,-1.32,,0.68,,,0.56,0.94,
11.39,,,13.37,6.96,,6.93,,,11.15,6.68,,0.64,,,-2.27,-1.45,,0.78,,,0.54,0.82,
11.98,,,13.47,6.63,,7.4,,,8.6,8.17,,-0.37,,,1.66,-0.37,,1.02,,,0.49,1.01,
11.99,,,14.8,6.78,,7.26,,,12.11,6.22,,1.42,,,1.59,-1.1,,0.79,,,0.52,1.28,
11,,,10.13,8.05,,11.15,,,10.01,4.96,,0.99,,,0.32,-1.76,,0.71,,,0.45,1.26,
11.47,,,11.08,6.93,,11.13,,,8.49,4.83,,1.02,,,-2.37,-3.03,,0.81,,,0.56,0.52,
12.11,,,10.88,7.5,,12.66,,,8.14,6.53,,0.68,,,0.77,0.02,,1.08,,,0.57,0.45,
12.07,,,10.88,6.43,,9.92,,,7.74,6.04,,0.79,,,0.96,-0.48,,1.11,,,0.56,0.57,
11.87,,,11.35,8.71,,11.58,,,5.48,8.79,,0.65,,,1.46,-0.9,,2.04,,,0.56,0.73,
12.86,,,11.22,8.55,,9.05,,,8.56,8.06,,2.53,,,1.77,-1.05,,2.28,,,0.57,1.2,
12.47,,,8.28,8.3,,13.61,,,8.35,7.31,,1.76,,,0.98,-1.7,,2.3,,,0.63,1.18,
12.31,,,8.69,7.29,,13.03,,,7.39,5.93,,1.77,,,-1.52,-2.02,,2.16,,,0.67,1.05,
12.73,,,8.85,7.25,,11.29,,,7.83,7.02,,1.37,,,0.91,0.28,,2.29,,,0.84,1.08,
13.11,,,9.76,7.21,,13.59,,,7.35,8.15,,1.71,,,0.5,-0.22,,2.07,,,0.59,1.05,
13.94,,,9.54,9.88,,11.22,,,8.29,9.96,,0.63,,,0.83,-0.36,,0.9,,,0.59,0.94,
13.47,,,10.38,9.77,,12.1,,,10.39,5.52,,-0.42,,,0.68,-0.99,,1.13,,,0.56,1.19,
13.75,,,12.55,9.94,,14.91,,,7.71,4.74,,-0.05,,,-0.51,-0.9,,1.13,,,0.57,1.33,
13.91,,,12.39,9.21,,17.39,,,9.08,6.01,,-0.32,,,-1.19,-2.3,,1.15,,,0.66,0.82,
12.8,,,13.02,9.31,,17.52,,,8.51,5.66,,-0.79,,,0.07,0.42,,1.08,,,0.45,0.75,
12.65,,,13,10.65,,15.22,,,11.65,5.4,,-0.72,,,0.76,-0.64,,1.25,,,0.6,0.58,
12.8,,,12.86,11.39,,15.19,,,13.6,6.8,,-1.91,,,-0.51,-0.01,,1.22,,,1,0.96,
13.36,,,13.08,10.96,,17.08,,,12.13,10.97,,2.61,,,-0.54,-0.79,,1.41,,,1.09,1.07,
13.29,,,8.39,8.74,,12.76,,,12.67,10.8,,2.2,,,-3.33,-0.7,,1.41,,,1.34,1.4,
12.24,,,9.12,8.5,,12.35,,,14.56,12.04,,1.58,,,-2.91,-2.1,,1.27,,,1.11,0.89,
12.28,,,12.79,10.45,,12.09,,,13.33,8,,1.68,,,2.14,0.74,,0.99,,,0.61,0.73,
11.81,,,16.37,10.57,,11.45,,,11.59,8.24,,0.86,,,0.82,0.35,,1.21,,,0.49,0.61,
11.42,,,14.86,10.75,,10.22,,,10.63,7.09,,0.68,,,0.08,0.09,,1.2,,,0.56,0.97,
11.75,,,8.79,11.19,,11.1,,,11.33,11.53,,2.72,,,-1.48,-0.72,,1.13,,,1.06,1.1,
11.85,,,10.06,9.16,,8.65,,,6.72,11.16,,2.24,,,-1.27,-0.76,,1.07,,,1.27,0.98,
12.85,,,12.71,8.45,,9.92,,,6.4,7.28,,1.59,,,0,-1.46,,1.09,,,1.12,0.49,
14.04,,,16.37,10.39,,11.29,,,7.04,6.13,,1.3,,,0.55,-1.7,,1.07,,,0.74,0.57,
12.7,,,11.44,10.21,,10.91,,,5.91,7.35,,1.18,,,1.03,-1.94,,1.26,,,0.62,0.49,
11.96,,,11.94,11.78,,10.47,,,6.27,9.37,,-0.52,,,0.57,-2.12,,1.97,,,0.92,0.52,
12.65,,,12.94,10.69,,11.07,,,7.72,8.2,,0.56,,,-0.52,-2.7,,1.89,,,0.74,0.63,
12.51,,,13.15,10.14,,14.2,,,10.06,7.73,,1.6,,,-1.56,0.02,,1.75,,,1.07,1,
10.72,,,14.5,9.75,,12.92,,,9.5,7.05,,2.6,,,1.1,-0.62,,1.71,,,0.81,0.62,
10.82,,,15.15,9.81,,13.23,,,11.11,6.75,,2.19,,,0.96,0.31,,1.64,,,0.67,0.36,
12.26,,,12.63,10.31,,15.55,,,9.43,6.63,,2.19,,,1.34,-0.15,,1.58,,,0.91,0.55,
9.96,,,14.15,10.27,,14.59,,,8.62,6.73,,2.14,,,0.98,-1.28,,1.61,,,0.87,0.78,
10.41,,,13.73,10.87,,17.09,,,9.26,6.59,,0.69,,,0.11,0.97,,1.47,,,1.09,1.07,
11.56,,,15.61,9.88,,13.22,,,9.45,6.46,,-0.42,,,-0.17,0.42,,1.92,,,1.43,0.9,
12.62,,,13.37,10.75,,14.24,,,9.89,6.84,,-1.98,,,0.2,1,,2.26,,,0.57,1.31,
11.39,,,13.81,10.29,,14,,,10.49,7.58,,-3.54,,,0.8,1.15,,2.53,,,0.88,1.26,
9.76,,,15.86,11.08,,16.05,,,9.79,7.15,,-3.75,,,1.73,0.12,,2.42,,,0.65,0.83,
9.47,,,12.45,9.59,,15.96,,,8.38,7.24,,-1.02,,,1.83,0.72,,1.61,,,1.07,0.56,
10.34,,,13.69,11.73,,11.35,,,8.72,8.08,,-2.6,,,0.66,0.61,,1.84,,,1.35,0.43,
12.17,,,14.18,11.01,,12.19,,,9.79,9.08,,-3.79,,,0.09,0.29,,2.36,,,1.01,0.48,
8.54,,,15.05,10.27,,17.84,,,11.51,6.85,,-4.63,,,1.73,0.36,,2.23,,,0.59,0.56,
8.43,,,16.09,10.49,,11.82,,,11.8,6.7,,-3.4,,,0.92,0.47,,2.19,,,0.75,0.59,
8.41,,,12.87,10.14,,9.78,,,9.94,6.23,,-3.68,,,1.04,-0.15,,2,,,0.51,0.99,
8.33,,,13.37,10.96,,10.68,,,8.62,7.02,,-1.97,,,0.61,-0.08,,2.17,,,0.51,0.88,
8.31,,,13.81,9.76,,10.97,,,9.2,7.69,,-1.96,,,0.88,-0.73,,2.26,,,0.66,0.8,
8.92,,,13.67,9.63,,12.03,,,7.73,9.2,,-1.38,,,1.64,-0.64,,2.15,,,0.57,0.6,
8.68,,,14.09,9.72,,11.38,,,7.87,7.4,,-1.08,,,0.32,-0.54,,1.97,,,0.74,0.78,
8.22,,,14.98,9.48,,17.45,,,8.38,7.76,,-1.87,,,-0.33,-1.19,,1.73,,,0.86,1.01,
8.63,,,9.07,9.56,,16.63,,,7.36,8.08,,-1.55,,,-0.25,-1.82,,1.67,,,0.87,0.84,
8.95,,,10.22,9.66,,16.12,,,7.38,8.78,,-0.81,,,1.4,-0.69,,1.16,,,0.98,1.01,
8.62,,,10.9,11.07,,16.11,,,7,7.89,,-1.75,,,1.39,-0.9,,0.84,,,1.32,0.69,
8.84,,,12.46,10.87,,17.05,,,8.39,10.33,,-2.02,,,0.35,-1.3,,0.82,,,0.6,0.96,
8.9,,,14.4,10.56,,17.53,,,8.82,7.19,,-2.74,,,0.28,-1.6,,0.73,,,0.63,1.05,
8.36,,,15.74,10.4,,9.7,,,7.05,5.58,,-0.64,,,0.02,-2.07,,0.83,,,0.67,1.1,
8.9,,,10.39,10.14,,10.16,,,8.21,5.89,,-0.56,,,-0.94,-2.58,,1.03,,,1.2,1.21,
8.58,,,11.28,10.31,,11.74,,,6.01,6.77,,-0.69,,,-0.11,0.82,,2.56,,,0.87,0.89,
8.2,,,12.19,11.05,,9.94,,,8.97,7.45,,-0.98,,,0.5,0.25,,2.52,,,1.13,0.64,
9.22,,,14.44,12.1,,10.67,,,9.06,7.83,,-1.18,,,0.67,0.19,,2.48,,,0.67,1.08,
7.81,,,15.14,12.48,,13.99,,,9.15,8.12,,-2.13,,,1.25,-1.13,,2.38,,,0.69,1.09,
7.63,,,9,12.47,,10.27,,,7.93,8.7,,-0.1,,,0.4,-1.14,,2.34,,,0.76,0.86,
7.98,,,9.6,11.53,,9.87,,,8.68,7.83,,-0.12,,,-0.18,-2.15,,2.46,,,0.64,1.13,
7.69,,,11.12,12.03,,10.49,,,7.4,9.49,,0.14,,,1.31,-0.78,,2.38,,,1.16,0.68,
7.88,,,12.71,11.51,,10.82,,,8.82,9.33,,-0.88,,,1.49,-1.58,,2.26,,,1.05,0.55,
9.72,,,13.03,10.79,,11.33,,,8.26,10.22,,-0.71,,,1.82,-1.56,,2.05,,,0.97,0.55,
